image,text
./data/synthetic/synthetic_data_b/StanfordCars_Syn/58.jpeg,a photo of a ladle.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/59.jpeg,a photo of a Alaskan tundra wolf.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/60.jpeg,a photo of a stopwatch.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/61.jpeg,a photo of a alligator lizard.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/62.jpeg,a photo of a punching bag.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/63.jpeg,a photo of a candle.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/64.jpeg,a photo of a envelope.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/65.jpeg,a photo of a white stork.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/66.jpeg,a photo of a hen of the woods mushroom.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/67.jpeg,a photo of a artichoke.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/68.jpeg,a photo of a red panda.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/69.jpeg,a photo of a black grouse.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/70.jpeg,a photo of a freight car.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/71.jpeg,a photo of a tiger beetle.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/72.jpeg,a photo of a teapot.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/73.jpeg,a photo of a mask.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/74.jpeg,a photo of a loupe magnifying glass.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/75.jpeg,a photo of a Windsor tie.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/76.jpeg,a photo of a vacuum cleaner.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/77.jpeg,a photo of a guenon.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/78.jpeg,a photo of a handkerchief.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/79.jpeg,a photo of a Miniature Schnauzer.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/80.jpeg,a photo of a pillow.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/81.jpeg,a photo of a scorpion.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/82.jpeg,a photo of a European green lizard.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/83.jpeg,a photo of a metal nail.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/84.jpeg,a photo of a Bouvier des Flandres dog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/85.jpeg,a photo of a shopping cart.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/86.jpeg,a photo of a polar bear.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/87.jpeg,a photo of a ptarmigan.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/88.jpeg,a photo of a trombone.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/89.jpeg,a photo of a Greater Swiss Mountain Dog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/90.jpeg,a photo of a vestment.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/91.jpeg,a photo of a platypus.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/92.jpeg,a photo of a snoek fish.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/93.jpeg,a photo of a Siamese cat.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/94.jpeg,a photo of a buckle.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/95.jpeg,a photo of a microphone.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/96.jpeg,a photo of a front curtain.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/97.jpeg,a photo of a macaque.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/98.jpeg,a photo of a Treeing Walker Coonhound.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/99.jpeg,a photo of a howler monkey.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/100.jpeg,a photo of a armadillo.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/101.jpeg,a photo of a Gordon Setter.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/102.jpeg,a photo of a oil filter.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/103.jpeg,a photo of a dingo.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/104.jpeg,a photo of a pier.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/105.jpeg,a photo of a carbonara.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/106.jpeg,a photo of a pan flute.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/107.jpeg,a photo of a monastery.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/108.jpeg,a photo of a barn spider.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/109.jpeg,a photo of a letter opener.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/110.jpeg,a photo of a microphone.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/111.jpeg,a photo of a Otterhound.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/112.jpeg,a photo of a electric guitar.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/113.jpeg,a photo of a hockey puck.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/114.jpeg,a photo of a Siberian Husky.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/115.jpeg,a photo of a English foxhound.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/116.jpeg,a photo of a can opener.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/117.jpeg,a photo of a giant panda.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/118.jpeg,a photo of a hyena.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/119.jpeg,a photo of a mushroom.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/120.jpeg,a photo of a miniskirt.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/121.jpeg,a photo of a parking meter.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/122.jpeg,a photo of a gas mask or respirator.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/123.jpeg,a photo of a Groenendael dog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/124.jpeg,a photo of a parachute.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/125.jpeg,a photo of a Angora rabbit.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/126.jpeg,a photo of a totem pole.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/127.jpeg,a photo of a sewing machine.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/128.jpeg,a photo of a shower curtain.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/129.jpeg,a photo of a garter snake.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/130.jpeg,a photo of a Rottweiler.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/131.jpeg,a photo of a sweatshirt.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/132.jpeg,a photo of a tailed frog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/133.jpeg,a photo of a scarf.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/134.jpeg,a photo of a monarch butterfly.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/135.jpeg,a photo of a apiary.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/136.jpeg,a photo of a dhole.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/137.jpeg,a photo of a eastern diamondback rattlesnake.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/138.jpeg,a photo of a Clumber Spaniel.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/139.jpeg,a photo of a mashed potatoes.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/140.jpeg,a photo of a burrito.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/141.jpeg,a photo of a greenhouse.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/142.jpeg,a photo of a washing machine.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/143.jpeg,a photo of a poncho.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/144.jpeg,a photo of a ringlet butterfly.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/145.jpeg,a photo of a English Springer Spaniel.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/146.jpeg,a photo of a mountain bike.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/147.jpeg,a photo of a convertible.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/148.jpeg,a photo of a airship.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/149.jpeg,a photo of a window shade.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/150.jpeg,a photo of a cabbage.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/151.jpeg,a photo of a mitten.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/152.jpeg,a photo of a cauldron.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/153.jpeg,a photo of a albatross.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/154.jpeg,a photo of a red wolf or maned wolf.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/155.jpeg,a photo of a dowitcher.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/156.jpeg,a photo of a Affenpinscher.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/157.jpeg,a photo of a restaurant.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/158.jpeg,a photo of a golf ball.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/159.jpeg,a photo of a face powder.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/160.jpeg,a photo of a grey wolf.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/161.jpeg,a photo of a rifle.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/162.jpeg,a photo of a home theater.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/163.jpeg,a photo of a beaker.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/164.jpeg,a photo of a traffic or street sign.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/165.jpeg,a photo of a holster.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/166.jpeg,a photo of a amphibious vehicle.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/167.jpeg,a photo of a guenon.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/168.jpeg,a photo of a Groenendael dog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/169.jpeg,a photo of a common redshank.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/170.jpeg,a photo of a Crock Pot.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/171.jpeg,a photo of a coffeemaker.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/172.jpeg,a photo of a hornbill.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/173.jpeg,a photo of a salt shaker.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/174.jpeg,a photo of a Komodo dragon.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/175.jpeg,a photo of a upright piano.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/176.jpeg,a photo of a conch.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/177.jpeg,a photo of a King Charles Spaniel.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/178.jpeg,a photo of a marimba.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/179.jpeg,a photo of a Bloodhound.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/180.jpeg,a photo of a space heater.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/181.jpeg,a photo of a paintbrush.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/182.jpeg,a photo of a bassoon.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/183.jpeg,a photo of a T-shirt.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/184.jpeg,a photo of a sea snake.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/185.jpeg,a photo of a sturgeon.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/186.jpeg,a photo of a eel.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/187.jpeg,a photo of a T-shirt.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/188.jpeg,a photo of a car wheel.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/189.jpeg,a photo of a drum.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/190.jpeg,a photo of a Great Pyrenees dog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/191.jpeg,a photo of a stinkhorn mushroom.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/192.jpeg,a photo of a French horn.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/193.jpeg,a photo of a upright piano.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/194.jpeg,a photo of a burrito.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/195.jpeg,a photo of a goldfinch.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/196.jpeg,a photo of a paintbrush.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/197.jpeg,a photo of a plant pot.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/198.jpeg,a photo of a chambered nautilus.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/199.jpeg,a photo of a palace.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/200.jpeg,a photo of a Windsor tie.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/201.jpeg,a photo of a envelope.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/202.jpeg,a photo of a rugby ball.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/203.jpeg,a photo of a dingo.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/204.jpeg,a photo of a shield.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/205.jpeg,a photo of a minivan.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/206.jpeg,a photo of a ram (adult male sheep).
./data/synthetic/synthetic_data_b/StanfordCars_Syn/207.jpeg,a photo of a slug.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/208.jpeg,a photo of a tiger beetle.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/209.jpeg,a photo of a bikini.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/210.jpeg,a photo of a Basset Hound.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/211.jpeg,a photo of a buckle.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/212.jpeg,a photo of a tiger shark.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/213.jpeg,a photo of a promontory.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/214.jpeg,a photo of a potter's wheel.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/215.jpeg,a photo of a sink.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/216.jpeg,a photo of a pool table.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/217.jpeg,a photo of a grey wolf.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/218.jpeg,a photo of a earth star fungus.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/219.jpeg,a photo of a corkscrew.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/220.jpeg,a photo of a schooner.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/221.jpeg,a photo of a Border Terrier.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/222.jpeg,a photo of a crate.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/223.jpeg,a photo of a hot dog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/224.jpeg,a photo of a sea anemone.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/225.jpeg,a photo of a waffle iron.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/226.jpeg,a photo of a manhole cover.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/227.jpeg,a photo of a dung beetle.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/228.jpeg,a photo of a toilet seat.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/229.jpeg,a photo of a minibus.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/230.jpeg,a photo of a crate.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/231.jpeg,a photo of a letter opener.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/232.jpeg,a photo of a West Highland White Terrier.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/233.jpeg,a photo of a King Charles Spaniel.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/234.jpeg,a photo of a common squirrel monkey.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/235.jpeg,a photo of a schooner.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/236.jpeg,a photo of a Black and Tan Coonhound.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/237.jpeg,a photo of a feather boa.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/238.jpeg,a photo of a promontory.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/239.jpeg,a photo of a sleeping bag.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/240.jpeg,a photo of a artichoke.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/241.jpeg,a photo of a dumbbell.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/242.jpeg,a photo of a spaghetti squash.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/243.jpeg,a photo of a tench.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/244.jpeg,a photo of a joystick.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/245.jpeg,a photo of a hare.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/246.jpeg,a photo of a cliff dwelling.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/247.jpeg,a photo of a chickadee.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/248.jpeg,a photo of a slug.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/249.jpeg,a photo of a lemon.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/250.jpeg,a photo of a patas monkey.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/251.jpeg,a photo of a water jug.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/252.jpeg,a photo of a television.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/253.jpeg,a photo of a stopwatch.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/254.jpeg,a photo of a cockroach.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/255.jpeg,a photo of a French Bulldog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/256.jpeg,a photo of a vine snake.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/257.jpeg,a photo of a Great Dane.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/258.jpeg,a photo of a water jug.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/259.jpeg,a photo of a greenhouse.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/260.jpeg,a photo of a eggnog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/261.jpeg,a photo of a black grouse.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/262.jpeg,a photo of a african grey parrot.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/263.jpeg,a photo of a quill.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/264.jpeg,a photo of a church.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/265.jpeg,a photo of a sundial.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/266.jpeg,a photo of a harvestman.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/267.jpeg,a photo of a weighing scale.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/268.jpeg,a photo of a electric fan.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/269.jpeg,a photo of a screwdriver.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/270.jpeg,a photo of a black stork.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/271.jpeg,a photo of a little blue heron.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/272.jpeg,a photo of a moving van.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/273.jpeg,a photo of a cello.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/274.jpeg,a photo of a eggnog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/275.jpeg,a photo of a fountain.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/276.jpeg,a photo of a borzoi.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/277.jpeg,a photo of a red wolf or maned wolf.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/278.jpeg,a photo of a drilling rig.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/279.jpeg,a photo of a wallet.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/280.jpeg,a photo of a lawn mower.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/281.jpeg,a photo of a swimming cap.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/282.jpeg,a photo of a corn.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/283.jpeg,a photo of a Clumber Spaniel.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/284.jpeg,a photo of a lemon.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/285.jpeg,a photo of a feather boa.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/286.jpeg,a photo of a salt shaker.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/287.jpeg,a photo of a punching bag.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/288.jpeg,a photo of a patio.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/289.jpeg,a photo of a Flat-Coated Retriever.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/290.jpeg,a photo of a farm plow.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/291.jpeg,a photo of a dragonfly.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/292.jpeg,a photo of a amphibious vehicle.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/293.jpeg,a photo of a pipe organ.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/294.jpeg,a photo of a moped.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/295.jpeg,a photo of a common squirrel monkey.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/296.jpeg,a photo of a birdhouse.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/297.jpeg,a photo of a dust jacket.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/298.jpeg,a photo of a diaper.
